airline,flight_id,dom_int,schedule_time,arr_dep,airport
JUL,JUL2412,D,2023-12-15T08:00:00Z,D,JUL
BRR,BRR2412,D,2023-12-15T12:00:00Z,D,SYG
TRK,TRK005,I,2023-12-15T14:00:00Z,D,ESB
JUL,JUL2512,D,2023-12-15T16:00:00Z,D,JUL
JUL,JUL2412,D,2023-12-16T08:00:00Z,D,JUL
BRR,BRR2412,D,2023-12-16T12:00:00Z,D,SYG
JUL,JUL2512,D,2023-12-16T16:00:00Z,D,JUL
JUL,JUL2412,D,2023-12-18T08:00:00Z,D,JUL
BRR,BRR2412,D,2023-12-18T12:00:00Z,D,SYG
JUL,JUL2512,D,2023-12-18T16:00:00Z,D,JUL
TK,TK1752,I,2023-12-19T11:10:00Z,D,IST
WF,WF030,D,2023-12-20T05:00:00Z,D,RRS
LH,LH865,S,2023-12-20T05:00:00Z,D,FRA
LH,LH2457,S,2023-12-20T05:05:00Z,D,MUC
SK,SK1461,S,2023-12-20T05:05:00Z,D,CPH
AF,AF1275,S,2023-12-20T05:20:00Z,D,CDG
KL,KL1140,S,2023-12-20T05:30:00Z,D,AMS
SN,SN2288,S,2023-12-20T05:40:00Z,D,BRU
BA,BA761,I,2023-12-20T05:50:00Z,D,LHR
SK,SK844,S,2023-12-20T05:50:00Z,D,ARN
DY,DY1302,I,2023-12-20T06:00:00Z,D,LGW
DY,DY740,D,2023-12-20T06:00:00Z,D,TRD
DY,DY522,D,2023-12-20T06:00:00Z,D,SVG
DY,DY1800,S,2023-12-20T06:00:00Z,D,AGP
SK,SK4675,S,2023-12-20T06:05:00Z,D,ALC
DY,DY1908,I,2023-12-20T06:05:00Z,D,PRN
SK,SK1463,S,2023-12-20T06:05:00Z,D,CPH
DY,DY932,S,2023-12-20T06:30:00Z,D,CPH
DY,DY804,S,2023-12-20T06:30:00Z,D,ARN
SK,SK482,S,2023-12-20T06:40:00Z,D,ARN
DY,DY1790,S,2023-12-20T06:45:00Z,D,ALC
DK,DK1566,S,2023-12-20T06:50:00Z,D,LPA
SK,SK821,S,2023-12-20T06:55:00Z,D,AMS
SK,SK803,I,2023-12-20T06:55:00Z,D,LHR
SK,SK332,D,2023-12-20T07:00:00Z,D,TRD
SK,SK251,D,2023-12-20T07:00:00Z,D,BGO
SK,SK4011,D,2023-12-20T07:05:00Z,D,SVG
SK,SK451,S,2023-12-20T07:05:00Z,D,CPH
DY,DY318,D,2023-12-20T07:10:00Z,D,KKN
DY,DY9066,S,2023-12-20T07:10:00Z,D,LPA
DY,DY402,D,2023-12-20T07:20:00Z,D,AES
WF,WF143,D,2023-12-20T07:20:00Z,D,OSL
SK,SK4406,D,2023-12-20T07:20:00Z,D,TOS
WF,WF183,D,2023-12-20T07:25:00Z,D,FDE
WF,WF163,D,2023-12-20T07:25:00Z,D,HOV
DY,DY340,D,2023-12-20T07:30:00Z,D,BOO
DY,DY1072,S,2023-12-20T07:30:00Z,D,RIX
D8,D84104,S,2023-12-20T07:30:00Z,D,ARN
DY,DY182,D,2023-12-20T07:30:00Z,D,HAU
BT,BT152,S,2023-12-20T07:35:00Z,D,RIX
SK,SK4082,D,2023-12-20T07:35:00Z,D,EVE
SK,SK4104,D,2023-12-20T07:35:00Z,D,BOO
LX,LX1219,S,2023-12-20T07:40:00Z,D,ZRH
SK,SK4472,D,2023-12-20T07:40:00Z,D,KKN
AY,AY912,S,2023-12-20T07:45:00Z,D,HEL
DX,DX572,D,2023-12-20T07:50:00Z,D,FRO
DY,DY526,D,2023-12-20T07:55:00Z,D,SVG
DY,DY744,D,2023-12-20T07:55:00Z,D,TRD
DY,DY360,D,2023-12-20T07:55:00Z,D,EVE
DY,DY606,D,2023-12-20T08:00:00Z,D,BGO
DY,DY1740,S,2023-12-20T08:10:00Z,D,BCN
DX,DX562,D,2023-12-20T08:10:00Z,D,OLA
D8,D83221,S,2023-12-20T08:15:00Z,D,CPH
DY,DY1976,I,2023-12-20T08:15:00Z,D,BEG
SK,SK4697,S,2023-12-20T08:15:00Z,D,LPA
SK,SK455,S,2023-12-20T08:15:00Z,D,CPH
KL,KL1142,S,2023-12-20T08:20:00Z,D,AMS
DY,DY320,D,2023-12-20T08:30:00Z,D,ALF
DY,DY998,S,2023-12-20T08:30:00Z,D,BLL
SK,SK2301,D,2023-12-20T08:30:00Z,D,KSU
SK,SK4603,I,2023-12-20T08:50:00Z,D,DUB
DY,DY1502,S,2023-12-20T08:50:00Z,D,PRG
SK,SK841,S,2023-12-20T08:50:00Z,D,ZRH
SK,SK864,S,2023-12-20T08:55:00Z,D,ARN
SK,SK1455,S,2023-12-20T09:00:00Z,D,CPH
DY,DY1060,S,2023-12-20T09:00:00Z,D,TLL
DY,DY1040,S,2023-12-20T09:00:00Z,D,KRK
LH,LH859,S,2023-12-20T09:00:00Z,D,FRA
DY,DY1550,S,2023-12-20T09:10:00Z,D,BUD
DY,DY750,D,2023-12-20T09:40:00Z,D,TRD
LO,LO482,S,2023-12-20T09:40:00Z,D,WAW
DY,DY608,D,2023-12-20T09:40:00Z,D,BGO
SK,SK907,I,2023-12-20T09:45:00Z,D,EWR
DY,DY396,D,2023-12-20T09:50:00Z,D,LYR
SK,SK4609,I,2023-12-20T09:55:00Z,D,MAN
DY,DY1190,S,2023-12-20T10:00:00Z,D,HEL
SK,SK338,D,2023-12-20T10:00:00Z,D,TRD
DY,DY1348,I,2023-12-20T10:00:00Z,D,MAN
DY,DY1052,S,2023-12-20T10:05:00Z,D,GDN
SK,SK837,S,2023-12-20T10:05:00Z,D,CDG
DY,DY1816,S,2023-12-20T10:10:00Z,D,LPA
SK,SK4086,D,2023-12-20T10:10:00Z,D,EVE
SK,SK4023,D,2023-12-20T10:15:00Z,D,SVG
SK,SK1467,S,2023-12-20T10:20:00Z,D,CPH
DY,DY1104,S,2023-12-20T10:20:00Z,D,BER
SK,SK4416,D,2023-12-20T10:20:00Z,D,TOS
LH,LH2453,S,2023-12-20T10:25:00Z,D,MUC
DY,DY1640,I,2023-12-20T10:25:00Z,D,EDI
SK,SK4546,D,2023-12-20T10:35:00Z,D,ALF
BA,BA763,I,2023-12-20T10:45:00Z,D,LHR
WF,WF169,D,2023-12-20T10:45:00Z,D,HOV
DY,DY532,D,2023-12-20T11:00:00Z,D,SVG
WF,WF187,D,2023-12-20T11:00:00Z,D,FDE
RC,RC435,S,2023-12-20T11:05:00Z,D,FAE
TK,TK1752,I,2023-12-20T11:10:00Z,D,IST
SK,SK1320,D,2023-12-20T11:15:00Z,D,AES
WF,WF149,D,2023-12-20T11:30:00Z,D,OSL
DY,DY374,D,2023-12-20T11:35:00Z,D,TOS
SK,SK263,D,2023-12-20T11:35:00Z,D,BGO
KL,KL1144,S,2023-12-20T11:40:00Z,D,AMS
SK,SK868,S,2023-12-20T11:45:00Z,D,ARN
SK,SK4112,D,2023-12-20T11:45:00Z,D,BOO
FI,FI319,S,2023-12-20T12:00:00Z,D,KEF
SK,SK4518,D,2023-12-20T12:00:00Z,D,MOL
TP,TP763,S,2023-12-20T12:05:00Z,D,LIS
SK,SK805,I,2023-12-20T12:05:00Z,D,LHR
SK,SK4418,D,2023-12-20T12:10:00Z,D,TOS
AY,AY914,S,2023-12-20T12:15:00Z,D,HEL
DY,DY8436,S,2023-12-20T12:15:00Z,D,PLQ
SK,SK344,D,2023-12-20T12:15:00Z,D,TRD
LH,LH861,S,2023-12-20T12:15:00Z,D,FRA
DY,DY1802,S,2023-12-20T12:15:00Z,D,AGP
DY,DY612,D,2023-12-20T12:20:00Z,D,BGO
SK,SK1469,S,2023-12-20T12:25:00Z,D,CPH
PC,PC1274,I,2023-12-20T12:25:00Z,D,SAW
DY,DY362,D,2023-12-20T12:25:00Z,D,EVE
DY,DY754,D,2023-12-20T12:25:00Z,D,TRD
DY,DY534,D,2023-12-20T12:35:00Z,D,SVG
SK,SK484,S,2023-12-20T12:50:00Z,D,ARN
SK,SK312,D,2023-12-20T12:50:00Z,D,HAU
SK,SK267,D,2023-12-20T13:05:00Z,D,BGO
SK,SK215,D,2023-12-20T13:10:00Z,D,KRS
EK,EK160,I,2023-12-20T13:10:00Z,D,DXB
SK,SK1927,S,2023-12-20T13:20:00Z,D,AAR
SK,SK4422,D,2023-12-20T13:35:00Z,D,TOS
DY,DY756,D,2023-12-20T13:40:00Z,D,TRD
SK,SK393,D,2023-12-20T13:45:00Z,D,BDU
WF,WF191,D,2023-12-20T13:45:00Z,D,FDE
WF,WF173,D,2023-12-20T13:45:00Z,D,HOV
DY,DY378,D,2023-12-20T14:00:00Z,D,TOS
IB,IB3497,S,2023-12-20T14:00:00Z,D,MAD
SK,SK4031,D,2023-12-20T14:00:00Z,D,SVG
DY,DY816,S,2023-12-20T14:00:00Z,D,ARN
SK,SK809,I,2023-12-20T14:00:00Z,D,LHR
QR,QR176,I,2023-12-20T14:00:00Z,D,DOH
BA,BA767,I,2023-12-20T14:10:00Z,D,LHR
DY,DY410,D,2023-12-20T14:10:00Z,D,AES
SK,SK1471,S,2023-12-20T14:10:00Z,D,CPH
DY,DY536,D,2023-12-20T14:15:00Z,D,SVG
SK,SK362,D,2023-12-20T14:20:00Z,D,TRD
